MonoMass	MinElutionTime	MaxElutionTime	CV50_H3_C1_Abundance	CV50_H3_C2_Abundance	CV50_H3_C3_Abundance	CV50_H3_C4_Abundance	CV50_H3_C5_Abundance	CV50_H4_A1_Abundance	CV50_H4_A2_Abundance	CV50_H4_A3_Abundance	CV50_H4_A4_Abundance	CV50_H3_C1_Ms1Score	CV50_H3_C2_Ms1Score	CV50_H3_C3_Ms1Score	CV50_H3_C4_Ms1Score	CV50_H3_C5_Ms1Score	CV50_H4_A1_Ms1Score	CV50_H4_A2_Ms1Score	CV50_H4_A3_Ms1Score	CV50_H4_A4_Ms1Score	CV50_H3_C1_FeatureId	CV50_H3_C2_FeatureId	CV50_H3_C3_FeatureId	CV50_H3_C4_FeatureId	CV50_H3_C5_FeatureId	CV50_H4_A1_FeatureId	CV50_H4_A2_FeatureId	CV50_H4_A3_FeatureId	CV50_H4_A4_FeatureId
5316.0053	9.707	11.963	16924.67	15894.72	8151.42	19785.49	4965.29	11345.2	17425.85	18651.34	22064.29	34.1991	-3.402823E+38	14.6227	-3.402823E+38	-1.5309	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	1417	0	1304	0	1356	0	0	0	0
5317.0125	9.94	11.289	28254.6	14332.24	12280.64	10983.7	5918.35	10620.3	3264.33	2575.757	2543.792	68.1706	59.3547	40.3391	39.2382	29.3943	-3.402823E+38	22.5033	-1216.553	-1239.816	1418	1410	1305	1478	1357	0	1476	0	0
5318.0036	10.174	11.159	14124.9	8614.17	5695.88	5460.01	7288.43	9117.72	3134.387	2002.778	1620.132	26.0262	30.3241	14.5515	15.3119	27.7709	-3.402823E+38	-1210.98	-1226.269	-1844.373	1419	1411	1306	1479	1358	0	0	0	0
5318.6109	16.682	18.419	29887.63	72372.32	9257.651	13431.82	9001.903	22717.78	34812.71	51174.79	128363.4	-5.5709	-3.402823E+38	-1226.173	17.1101	-7.243039	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	1420	0	0	1480	0	0	0	0	0
5319.6143	16.682	18.315	35849.34	9573.722	12923.24	20986.63	5757.071	22717.78	34812.71	51174.79	128363.4	29.2827	6.471253	28.5129	29.95086	-1233.813	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	1421	0	1307	0	0	0	0	0	0
5324.8038	72.228	74.046	308725.8	92004.84	74217.01	109228.8	45720.89	26403.29	55149.36	23151.74	38487.81	10.2737	-9.7656	-3.402823E+38	21.8819	-3.402823E+38	28.8736	-3.402823E+38	21.4193	-3.402823E+38	1422	1412	0	1481	0	976	0	1328	0
5324.8684	10.296	11.582	8644.991	16665.4	5986.682	10732.46	16298.81	6726.425	11769.6	1657.611	15026.29	-3.402823E+38	-5.2138	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-1231.185	-3.402823E+38	0	1413	0	0	0	0	0	0	0
5325.8052	72.198	74.322	889737.7	316457.5	80234.3	183253.2	51542.53	27679.84	62916.68	33110.15	44355.56	67.0968	70.6446	-3.402823E+38	62.927	-3.402823E+38	56.3607	-3.402823E+38	67.7358	-3.402823E+38	1423	1414	0	1482	0	978	0	1329	0
5325.858	10.622	11.418	25278.34	38910.86	14120.04	24411.26	33922.21	5548.83	23765.95	35440.19	18625.29	54.6029	53.9293	41.0251	45.4381	29.196	10.5661	27.5673	38.9124	13.4771	1424	1415	1308	1483	1359	977	1477	1330	1283
5326.8041	72.059	74.368	737725.9	280096.6	80234.3	163307.6	51542.53	31195.15	62916.68	20420.61	44355.56	33.6654	45.797	-3.402823E+38	24.0525	-3.402823E+38	-3.402823E+38	-3.402823E+38	40.4508	-3.402823E+38	1425	1416	0	1484	0	0	0	1331	0
